date	huobi	zb
2017-10-31:00:00:00	6339.65	140.0
2017-11-01:00:00:00	6562.73	7000.0
2017-11-02:00:00:00	7026.15	7253.2
2017-11-03:00:00:00	7317.56	7250.0
2017-11-04:00:00:00	7305.17	7520.81
2017-11-05:00:00:00	7516.94	7211.01
2017-11-06:00:00:00	7230.23	7089.9
2017-11-07:00:00:00	7008.2	7565.0
2017-11-08:00:00:00	7471.72	7262.0
2017-11-09:00:00:00	7142.03	7069.99
2017-11-10:00:00:00	6813.69	6517.1
2017-11-11:00:00:00	6120.88	6567.86
2017-11-12:00:00:00	6142.33	6800.0
2017-11-13:00:00:00	6644.69	6761.52
2017-11-14:00:00:00	6455.92	7403.66
2017-11-15:00:00:00	7265.17	7560.0
2017-11-16:00:00:00	7427.72	8099.0
2017-11-17:00:00:00	7926.39	7770.47
2017-11-18:00:00:00	7645.91	7828.0
2017-11-19:00:00:00	7762.96	8150.0
2017-11-20:00:00:00	8200.24	8257.34
2017-11-21:00:00:00	8363.28	8218.0
2017-11-22:00:00:00	8263.69	8185.0
2017-11-23:00:00:00	8250.34	8045.0
2017-11-24:00:00:00	8133.0	8485.53
2017-11-25:00:00:00	8502.56	8992.01
2017-11-26:00:00:00	9058.0	9649.5
2017-11-27:00:00:00	9597.67	9970.34
2017-11-28:00:00:00	9872.92	11210.23
2017-11-29:00:00:00	10897.5	9709.86
2017-11-30:00:00:00	9113.39	10925.05
2017-12-01:00:00:00	10449.92	10989.0
2017-12-02:00:00:00	10707.69	11812.68
2017-12-03:00:00:00	11733.5	11569.74
2017-12-04:00:00:00	11300.0	12222.0
2017-12-05:00:00:00	11789.17	13344.64
2017-12-06:00:00:00	12417.28	17044.01
2017-12-07:00:00:00	15403.93	16648.94
2017-12-08:00:00:00	15411.0	15347.93
2017-12-09:00:00:00	14439.44	16450.0
2017-12-10:00:00:00	15200.0	17286.9
2017-12-11:00:00:00	16400.44	16386.92
2017-12-12:00:00:00	16318.86	16637.71
2017-12-13:00:00:00	15954.64	16879.0
2017-12-14:00:00:00	16116.0	17848.9
2017-12-15:00:00:00	17600.0	18957.07
2017-12-16:00:00:00	18947.17	19292.38
2017-12-17:00:00:00	19194.03	18667.68
2017-12-18:00:00:00	18674.2	17296.29
2017-12-19:00:00:00	17499.86	17664.98
2017-12-20:00:00:00	16631.28	16809.69
2017-12-21:00:00:00	15260.0	15299.99
2017-12-22:00:00:00	12218.97	16080.02
2017-12-23:00:00:00	14498.99	15222.87
2017-12-24:00:00:00	12680.83	15138.95
2017-12-25:00:00:00	13468.71	17275.01
2017-12-26:00:00:00	15623.22	16910.01
2017-12-27:00:00:00	15200.0	15745.92
2017-12-28:00:00:00	14035.95	15805.46
2017-12-29:00:00:00	14597.91	14164.56
2017-12-30:00:00:00	12460.0	15254.79
2017-12-31:00:00:00	13284.18	14773.57
2018-01-01:00:00:00	13210.39	14957.26
2018-01-02:00:00:00	13659.53	15718.14
2018-01-03:00:00:00	14940.02	15668.86
2018-01-04:00:00:00	14445.98	17777.16
2018-01-05:00:00:00	16099.6	18103.74
2018-01-06:00:00:00	16498.0	18026.39
2018-01-07:00:00:00	16510.06	16193.0
2018-01-08:00:00:00	14350.05	16687.48
2018-01-09:00:00:00	14699.99	16123.23
2018-01-10:00:00:00	14274.39	15954.01
2018-01-11:00:00:00	13929.1	15052.43
2018-01-12:00:00:00	13406.75	15515.67
2018-01-13:00:00:00	14279.87	13710.0
2018-01-14:00:00:00	12963.05	14949.63
2018-01-15:00:00:00	13943.99	12741.72
2018-01-16:00:00:00	11949.82	10201.78
2018-01-17:00:00:00	9380.11	12177.33
2018-01-18:00:00:00	11624.99	12227.71
2018-01-19:00:00:00	11440.96	13244.57
2018-01-20:00:00:00	12500.0	12294.33
2018-01-21:00:00:00	11502.0	11264.02
2018-01-22:00:00:00	10391.98	11411.61
2018-01-23:00:00:00	10724.79	11510.0
2018-01-24:00:00:00	11066.1	11417.9
2018-01-25:00:00:00	11058.06	11168.4
2018-01-26:00:00:00	11050.17	11480.43
2018-01-27:00:00:00	11438.91	11761.01
2018-01-28:00:00:00	11779.0	11292.0
2018-01-29:00:00:00	11368.21	10351.02
2018-01-30:00:00:00	10383.51	10049.0
2018-01-31:00:00:00	10031.55	9375.56
2018-02-01:00:00:00	9369.71	9239.88
2018-02-02:00:00:00	9055.0	9189.41
2018-02-03:00:00:00	9150.0	8494.37
2018-02-04:00:00:00	8416.7	7465.03
2018-02-05:00:00:00	7425.42	7305.83
2018-02-06:00:00:00	7274.99	8134.86
2018-02-07:00:00:00	8165.59	8275.94
2018-02-08:00:00:00	8241.33	8330.02
2018-02-09:00:00:00	8345.0	8315.14
2018-02-10:00:00:00	8329.79	8441.71
2018-02-11:00:00:00	8440.0	8639.99
2018-02-12:00:00:00	8646.66	8497.34
2018-02-13:00:00:00	8484.89	9261.82
2018-02-14:00:00:00	9289.0	9792.87
2018-02-15:00:00:00	9792.32	9999.25
2018-02-16:00:00:00	10030.01	10721.83
2018-02-17:00:00:00	10737.28	10676.24
2018-02-18:00:00:00	10562.01	11172.47
2018-02-19:00:00:00	11194.0	11541.94
2018-02-20:00:00:00	11519.43	10549.68
2018-02-21:00:00:00	10550.17	10232.25
2018-02-22:00:00:00	9988.0	10504.97
2018-02-23:00:00:00	10290.0	10161.27
2018-02-24:00:00:00	9760.0	9713.1
2018-02-25:00:00:00	9390.0	10400.0
2018-02-26:00:00:00	10267.97	10566.59
